,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
233,000507.SZ,20190228,7.6704,8.0878,7.6704,7.889,7.74,0.14900000000000002,1.9251,373609.36,297292.06
234,000507.SZ,20190227,7.7499,7.8692,7.6506,7.74,7.8195,-0.07949999999999946,-1.0167,297589.07,232986.929
235,000507.SZ,20190226,7.889,8.0381,7.7102,7.8195,7.9188,-0.09930000000000039,-1.254,546763.54,433862.023
236,000507.SZ,20190225,7.6406,7.9387,7.6406,7.9188,7.6406,0.2782,3.6411,573921.78,451693.001
237,000507.SZ,20190222,7.5015,7.6506,7.4717,7.6406,7.591,0.049599999999999866,0.6534,320360.75,243694.873
238,000507.SZ,20190221,7.7003,7.8592,7.4519,7.591,7.8195,-0.22849999999999948,-2.9222,538379.48,413106.526
239,000507.SZ,20190220,8.4454,8.4454,7.7996,7.8195,8.2269,-0.4074000000000009,-4.952,827259.05,667981.944
240,000507.SZ,20190219,7.9188,8.2269,7.7599,8.2269,7.4817,0.7452000000000005,9.9603,603335.77,494548.659
241,000507.SZ,20190218,7.5115,7.5612,7.3227,7.4817,7.283,0.19869999999999965,2.7283,407939.38,304417.257
242,000507.SZ,20190215,7.1935,7.3028,7.114,7.283,7.2035,0.07950000000000035,1.1036,268935.86,195784.747
243,000507.SZ,20190214,6.9749,7.3028,6.9352,7.2035,6.965,0.23850000000000016,3.4243,368263.26,265337.905
244,000507.SZ,20190213,6.8855,6.9948,6.8259,6.965,6.9352,0.029799999999999827,0.4297,225588.33,157415.497
245,000507.SZ,20190212,6.6371,7.1538,6.6371,6.9352,6.657,0.2782,4.1791,336629.27,234987.053
246,000507.SZ,20190211,6.5477,6.6769,6.5378,6.657,6.5874,0.06960000000000033,1.0566,79692.92,53155.995
247,000507.SZ,20190201,6.3788,6.5874,6.3788,6.5874,6.3589,0.22849999999999948,3.5934,78528.58,51382.656
248,000507.SZ,20190131,6.4384,6.498,6.3092,6.3589,6.4185,-0.05959999999999965,-0.9286,85444.0,55126.868
249,000507.SZ,20190130,6.4384,6.5278,6.3689,6.4185,6.4583,-0.0398000000000005,-0.6163,51952.53,33721.336
250,000507.SZ,20190129,6.5775,6.5775,6.3092,6.4583,6.5775,-0.1191999999999993,-1.8122,87799.93,56981.807
251,000507.SZ,20190128,6.5874,6.6769,6.5676,6.5775,6.5676,0.00990000000000002,0.1507,70494.41,46939.435
252,000507.SZ,20190125,6.6173,6.6173,6.5676,6.5676,6.6173,-0.04970000000000052,-0.7511,47915.0,31807.205
253,000507.SZ,20190124,6.6272,6.657,6.5775,6.6173,6.6173,0.0,0.0,56304.8,37498.603
254,000507.SZ,20190123,6.6471,6.6669,6.5974,6.6173,6.6173,0.0,0.0,35572.0,23718.014
255,000507.SZ,20190122,6.7166,6.7464,6.6073,6.6173,6.7265,-0.10919999999999952,-1.6234,55249.06,37092.784
256,000507.SZ,20190121,6.6967,6.7564,6.6769,6.7265,6.7067,0.01980000000000004,0.2952,59008.23,39967.438
257,000507.SZ,20190118,6.6669,6.7564,6.6272,6.7067,6.6669,0.03979999999999961,0.597,73164.0,49218.957
258,000507.SZ,20190117,6.7961,6.816,6.6669,6.6669,6.7961,-0.12919999999999998,-1.9011,67335.52,45629.039
259,000507.SZ,20190116,6.8458,6.8656,6.7961,6.7961,6.8259,-0.029799999999999827,-0.4366,78654.72,54004.505
260,000507.SZ,20190115,6.7365,6.8458,6.7067,6.8259,6.7564,0.06949999999999967,1.0287,85307.8,58351.352
261,000507.SZ,20190114,6.7762,6.9253,6.7265,6.7564,6.7862,-0.029799999999999827,-0.4391,68307.0,46761.654
262,000507.SZ,20190111,6.7663,6.7961,6.6967,6.7862,6.7166,0.06960000000000033,1.0362,61667.0,41827.366
263,000507.SZ,20190110,6.7067,6.816,6.6868,6.7166,6.7265,-0.00990000000000002,-0.1472,69876.34,47392.997
264,000507.SZ,20190109,6.6967,6.8855,6.6967,6.7265,6.7862,-0.05970000000000031,-0.8797,117757.0,80527.647
265,000507.SZ,20190108,6.7265,6.9849,6.6769,6.7862,6.7564,0.029799999999999827,0.4411,140319.58,96724.988
266,000507.SZ,20190107,6.6769,6.7663,6.6173,6.7564,6.6371,0.11929999999999996,1.7975,130929.35,88314.115
267,000507.SZ,20190104,6.3987,6.6371,6.3589,6.6371,6.508,0.12910000000000021,1.9837,108135.94,71246.21
268,000507.SZ,20190103,6.5974,6.6272,6.498,6.508,6.5974,-0.08940000000000037,-1.3551,59377.12,39239.778
269,000507.SZ,20190102,6.5378,6.6173,6.4583,6.5974,6.5576,0.0398000000000005,0.6069,64189.47,42299.472
270,000507.SZ,20181228,6.6272,6.657,6.5278,6.5576,6.5974,-0.0398000000000005,-0.6033,90212.12,59723.497
271,000507.SZ,20181227,6.8557,6.8756,6.5974,6.5974,6.7663,-0.16889999999999983,-2.4962,108061.53,73296.242
272,000507.SZ,20181226,6.9153,6.9749,6.7564,6.7663,6.9352,-0.16889999999999983,-2.4354,116205.01,79887.287
273,000507.SZ,20181225,7.0147,7.0544,6.7564,6.9352,7.0942,-0.1589999999999998,-2.2413,140429.42,97468.025
274,000507.SZ,20181224,7.114,7.1538,7.0445,7.0942,7.0942,0.0,0.0,78497.0,56010.704
275,000507.SZ,20181221,7.1041,7.114,7.0246,7.0942,7.1438,-0.049599999999999866,-0.6943,111039.47,78908.736
276,000507.SZ,20181220,7.1041,7.2035,7.0842,7.1438,7.1339,0.00990000000000002,0.1388,104291.16,74998.072
277,000507.SZ,20181219,7.3128,7.3525,7.124,7.1339,7.4022,-0.2683,-3.6246,159223.21,115609.976
278,000507.SZ,20181218,7.3624,7.7102,7.0743,7.4022,7.4221,-0.019900000000000695,-0.2681,316239.14,233363.167
279,000507.SZ,20181217,7.2531,7.4419,7.2432,7.4221,7.2233,0.1988000000000003,2.7522,294301.6,217606.881
280,000507.SZ,20181214,7.1438,7.4121,7.0644,7.2233,7.1637,0.05959999999999965,0.832,181761.21,132446.625
281,000507.SZ,20181213,7.114,7.2134,7.0743,7.1637,7.0942,0.06950000000000056,0.9797,119121.62,85954.217
282,000507.SZ,20181212,7.0842,7.124,7.0644,7.0942,7.1041,-0.00990000000000002,-0.1394,46200.0,32965.461
283,000507.SZ,20181211,7.0644,7.114,7.0544,7.1041,7.0544,0.04969999999999963,0.7045,52016.36,37086.71
284,000507.SZ,20181210,7.1041,7.114,7.0346,7.0544,7.1538,-0.09940000000000015,-1.3895,61085.0,43429.495
285,000507.SZ,20181207,7.1339,7.2035,7.0942,7.1538,7.1041,0.04970000000000052,0.6996,65352.36,46952.653
286,000507.SZ,20181206,7.2134,7.2134,7.0942,7.1041,7.2432,-0.1391,-1.9204,100562.68,72218.01
287,000507.SZ,20181205,7.1637,7.3227,7.1041,7.2432,7.283,-0.0398000000000005,-0.5465,128118.86,93201.831
288,000507.SZ,20181204,7.2333,7.3426,7.2233,7.283,7.2631,0.019900000000000695,0.274,144204.12,105678.077
289,000507.SZ,20181203,7.1737,7.2929,7.1637,7.2631,7.0842,0.17889999999999961,2.5253,155956.66,113469.909
290,000507.SZ,20181130,7.1041,7.1339,7.0047,7.0842,7.1041,-0.019899999999999807,-0.2801,87199.42,61859.054
291,000507.SZ,20181129,7.2233,7.2432,7.0942,7.1041,7.2134,-0.10930000000000017,-1.5152,86284.6,62231.963
292,000507.SZ,20181128,7.1836,7.2432,7.1041,7.2134,7.2233,-0.00990000000000002,-0.1371,113337.12,81603.187
293,000507.SZ,20181127,7.4022,7.4022,7.124,7.2233,7.3525,-0.12919999999999998,-1.7572,155709.81,112991.106
294,000507.SZ,20181126,7.3028,7.4419,7.2333,7.3525,7.3028,0.04969999999999963,0.6806,130409.86,96600.594
295,000507.SZ,20181123,7.1935,7.4419,7.1836,7.3028,7.2531,0.04970000000000052,0.6852,244263.62,180431.342
296,000507.SZ,20181122,7.2929,7.3227,7.2333,7.2531,7.2929,-0.0398000000000005,-0.5457,75384.56,55117.586
297,000507.SZ,20181121,7.1637,7.3426,7.1339,7.2929,7.3128,-0.019899999999999807,-0.2721,111710.32,81553.054
298,000507.SZ,20181120,7.5413,7.5413,7.273,7.3128,7.5512,-0.2383999999999995,-3.1571,207604.2,155100.428
299,000507.SZ,20181119,7.3624,7.581,7.3624,7.5512,7.4121,0.1391,1.8767,253886.11,190629.648
300,000507.SZ,20181116,7.3624,7.4618,7.3128,7.4121,7.3724,0.039699999999999847,0.5385,216011.21,160955.761
301,000507.SZ,20181115,7.3128,7.3823,7.2631,7.3724,7.3028,0.06959999999999944,0.9531,158062.29,116746.791
302,000507.SZ,20181114,7.2631,7.4419,7.2531,7.3028,7.283,0.01980000000000004,0.2719,167672.08,123803.985
303,000507.SZ,20181113,7.1438,7.3028,7.1041,7.283,7.2631,0.019900000000000695,0.274,191247.39,139259.174
