date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2011-10-31,sz.002269,9.5762121000,10.8249782200,8.7869638500,10.7548228200,13644360,377827159.7900,2,1.357648,12.637766
2011-11-30,sz.002269,10.5864498600,10.9302113200,9.6919685100,9.8217560000,10887456,322153223.0200,2,1.083329,-8.675799
2011-12-30,sz.002269,9.9796056500,10.0848387500,8.4186480000,9.1096786900,14494261,384101389.0900,2,1.442215,-7.250000
2012-01-31,sz.002269,8.9833989700,9.0149689000,7.5767832000,7.8328504100,14179575,324177374.3800,2,1.410903,-14.016173
2012-02-29,sz.002269,7.8258348700,9.2114040200,7.6960473800,8.4046169200,17715448,430286974.0200,2,1.762731,7.299597
2012-03-30,sz.002269,8.4502179300,9.6393519600,8.0468243800,8.1906429500,25277800,645056987.9200,2,2.515204,-2.545910
2012-04-27,sz.002269,8.1380264000,8.4993267100,7.6153686700,8.1134720100,21100936,479924316.5400,2,2.099596,-0.942184
2012-05-31,sz.002269,8.1415341700,8.6571763600,7.8269082300,8.0124834600,25145650,584347832.1200,2,2.502055,-1.244790
2012-06-29,sz.002269,8.0161221900,8.8675850100,7.8523793400,8.7693393000,24419303,561674763.4400,2,2.429781,9.445958
2012-07-31,sz.002269,8.7693393000,8.8057266000,7.1537431800,7.4739514200,24420132,518746491.6600,2,2.429864,-14.771784
2012-08-31,sz.002269,7.4666739600,7.6413330000,6.7425666900,6.9172257300,11400924,228048608.7000,2,1.134420,-7.448880
2012-09-28,sz.002269,6.9317806500,7.4593965000,6.5679076500,6.9499743000,9802741,190613678.9700,2,0.975397,0.473435
2012-10-31,sz.002269,6.9172257300,6.9499743000,5.1451642200,5.1742740600,48062362,779580145.9000,2,4.782325,-25.549738
2012-11-30,sz.002269,5.1815515200,5.2543261200,4.2209268000,4.2827852100,65845095,874261750.2500,2,6.551751,-17.229255
2012-12-31,sz.002269,4.2864239400,4.9814213700,4.0862937900,4.7521813800,70431331,900714590.2500,2,7.008093,10.960068
2013-01-31,sz.002269,4.8213172500,5.2834359600,4.5411350400,5.0323635900,165283046,2256177368.8500,2,16.446074,5.895865
2013-02-28,sz.002269,5.0141699400,5.4580950000,4.8577045500,5.0541959700,63400550,897001723.1100,2,6.308512,0.433839
2013-03-29,sz.002269,5.0614734300,5.1124156500,4.3955858400,4.8831756600,75794677,971973569.7100,2,7.541759,-3.383729
2013-04-26,sz.002269,4.8870241600,4.8870241600,3.8464117600,3.8502658800,50707425,557621576.0000,2,5.045515,-21.152328
2013-05-31,sz.002269,3.8618282400,4.5941110400,3.7384964000,4.4206756400,96300884,1008955448.0000,2,9.582178,14.814815
2013-06-28,sz.002269,4.4245297600,4.4746333200,3.3723550000,3.4070420800,65539060,686411516.0000,2,6.521300,-22.929381
2013-07-31,sz.002269,3.4108962000,3.5881857200,3.2258984400,3.2644396400,64461964,568286369.0000,2,6.414126,-4.185520
2013-08-30,sz.002269,3.2952726000,3.7693293600,3.2605855200,3.6614140000,75992546,695727968.0000,2,7.561447,12.160567
2013-09-30,sz.002269,3.6999552000,4.6634852000,3.5843316000,4.1740119600,101038300,1061480426.0000,2,10.053562,14.000000
2013-10-31,sz.002269,4.2009908000,6.4055474400,4.0468260000,5.2955608800,133745448,1825688979.0000,2,13.308005,26.869806
2013-11-29,sz.002269,5.3610809200,5.6193069600,4.3667179600,5.2685820400,100866547,1284285597.0000,2,10.036472,-0.509461
2013-12-31,sz.002269,5.0142101200,5.4921210000,4.5825486800,4.7521299600,62201981,822338468.0000,2,6.189252,-9.802487
2014-01-30,sz.002269,4.7559840800,4.7945252800,3.8194329200,3.9813059600,72238878,777747463.0000,2,7.187948,-16.220600
2014-02-28,sz.002269,3.9196400400,4.9718148000,3.8965153200,4.1701578400,66740581,779368906.0000,2,6.640854,4.743466
2014-03-31,sz.002269,4.1701578400,4.7675464400,3.7577670000,3.7963082000,109083023,1184882504.0000,2,10.854032,-8.964880
2014-04-30,sz.002269,3.7770376000,3.9851600800,3.3530844000,3.3762091200,78046953,755068002.0000,2,7.765866,-11.065990
2014-05-30,sz.002269,3.3916256000,3.5033950800,3.2528772800,3.3415220400,50298142,441393124.0000,2,5.004790,-1.027397
2014-06-30,sz.002269,3.3415220400,3.5081243800,3.2174398400,3.3090253800,71081631,596681945.0000,2,7.072799,-0.972466
2014-07-31,sz.002269,3.3050434000,3.6514756600,3.2373497400,3.5997099200,186755519,1597357762.0000,2,18.582639,8.784597
2014-08-29,sz.002269,3.5837820000,3.8784485200,3.5001604200,3.6036919000,197625271,1811285860.0000,2,19.664206,0.110619
2014-09-30,sz.002269,3.6076738800,4.7146643200,3.5917459600,4.4757455200,541696695,5674177952.0000,2,53.900169,24.198895
2014-10-31,sz.002269,4.4956554200,4.5872409600,4.1293132600,4.5832589800,389431678,4319600736.0000,2,38.749421,2.402135
2014-11-28,sz.002269,4.6230787800,4.8261597600,4.3005384000,4.4996374000,374347044,4298569088.0000,2,37.248462,-1.824500
2014-12-31,sz.002269,4.5115833400,5.1168443000,4.0656015800,4.2009889000,492425471,5805320128.0000,2,48.997559,-6.637168
2015-01-30,sz.002269,4.3045203800,4.9376552000,4.2368267200,4.7067003600,271660990,3120891800.0000,2,27.030944,12.037915
2015-02-27,sz.002269,4.6230787800,4.9018173800,4.4996374000,4.8381057000,140584720,1671197696.0000,2,13.988529,2.791878
2015-03-31,sz.002269,4.8460696600,7.1038523200,4.7982859000,7.1038523200,557539797,8294088036.0000,2,55.476597,46.831276
2015-04-30,sz.002269,7.1038523200,11.2889133000,6.7693660000,8.3581760200,1470056677,32688581570.0000,2,146.274296,17.656951
